text,label,char_length,word_count
Trailer ah paatha Angaali Pangaali elam oru like podunga,Not_offensive,56,9
Mothathula viswasathuku bulb kudukkurathukagave yedutha mathiri iruku,Offensive_Targeted_Insult_Individual,69,7
VERITHANAM Dhanush Fan From Sri Lanka,Not_offensive,38,6
"சமூக அரசியல் சார்ந்த படம், வெற்றி பெற வாழ்த்துக்கள்",Not_offensive,51,7
Kirrakkkkkkk Style ka baap Super star RAJINI,Not_offensive,46,7
Vivagam part 2 trailer mathri irkuu,Offensive_Targeted_Insult_Group,35,6
Nadippin nayakan brilliant director selva sir compo u1 muzic cult in class loading,Not_offensive,82,13
****a vera levellllllllll trailer... Masssssssssss gangsters...,Not_offensive,70,6
Paruda...ivaru lawyerlayaei rowdy lawyera irupar pola,Offensive_Targeted_Insult_Individual,53,6
Last dialogue semma karthi Anna... Nala panirukenga...,Not_offensive,59,9
Hit Like Suriya Fans Hit Like South Indian Hindi Fans,Not_offensive,54,10
Innaki Kaalaila(13-6-19) endhichadhum inga vandhavan yaru?,Not_offensive,58,6
100 times ku mela parthavangala like potutu ponga,Not_offensive,49,8
Vetrimaranivanukku mattum eppadi daa intha mathiri bgm kedakkurathu Hats off,Not_offensive,76,10
semma...pakka...kola mass...therri...perfect title...thalapathy Ajak pans thevdiya pasangala apadiye vorama pongada amayanzz,Offensive_Targeted_Insult_Group,125,11
Kaipulla Vijay Twitter la Trending agudhu,Not_offensive,41,6
Thalaiivaaaaaaaa🤣🤣🤣I'm waiting ughhthis Valentine's day program eh neenga dhan,Not_offensive,78,9
கொங்கு வேளாளர் கவுண்டர்கள் பேரவை சார்பாக படம் மிகப்பெரிய அளவில் வெற்றி பெற வாழ்த்துக்கள்... சாகட்டும் திருமா சக்கிலி,Offensive_Targeted_Insult_Individual,116,14
Thala Masssss...looks like a Hollywood movie...,Not_offensive,53,6
A wonderful nd amazing wtng 2 see,Not_offensive,33,7
Aruvi movie real fans hit like here guys,Not_offensive,40,8
unique concept hats off edho message solra satirical film pola.,Not_offensive,63,10
Morning endhirichadhum teaser paka vandhavanga laaam likee ah poduuuu Kaappaan teaser vera level 2019 naanga dhaan da,Not_offensive,119,17
"நாடக காதல் கும்பல் கதற ஆரமித்து விட்டார்கள்,கதறல் சத்தம் அதிகமாவே கேக்குது,",Not_offensive,75,9
தாழ்த்தப்பட்ட மக்களின் நலனுக்காக தன் சொத்தை பங்கிட்டுக் அடைக்கலம் கொடுத்த மதிப்பிற்குரிய பசும்பொன் முத்துராமலிங்கத் தேவர் அவர்கள் வழியே சாதி மறந்து...உணர்வுகளை மதித்து நபப்பவர்களின் சார்பாக படம் வெற்றி அடைய வாழ்த்துகிறோம்..,Not_offensive,225,23
India makaal sarbagae endhae padam vetri adayaae emadhu vazthukaal.. trailer wooowwwww,Not_offensive,86,11
Last scene vera level love u thala,Not_offensive,34,7
Surya Luv u Thalaivaaaaa,Not_offensive,28,4
Padamna Ithu padam...Semma message movie...Great,Not_offensive,52,7
Single pasangha like me,Not_offensive,23,4
"நாடக காதலால் உண்மையிலேயே அதிகம் பாதிக்கப்பட்ட வேளாளர், தேவர், வன்னியர் சமுதாயங்களுக்கு இப்படம் சமர்ப்பணம் ஆகும்",Not_offensive,113,13
இந்த படம் தமிழ் சமுதாயம் மக்களுக்கு சிறந்த படமா இருக்கும்,Not_offensive,57,8
ennaikku neriya peru kitta illatha oru ketta palazhum en kitta erukku ajith fanzz okkurathu thalapathy fanz than masss,Offensive_Targeted_Insult_Individual,118,18
டிரெய்லர் ரிபீட் மோட் ல பாக்குறேன். அவிங்கனால பாதிக்கப்பட்ட குடும்பத்தில் ஒருவன்...,Not_offensive,83,9
Kiya yeh movie Hindi me hai?,not-Tamil,29,7
Dislike adicha maannynmark naduviral namaskaram,Offensive_Targeted_Insult_Other,47,5
What ah trailer semma mass ah Iruku,Not_offensive,36,7
viswasam enga poga poguthunu theriyalaya. PETTA PARAAK,Offensive_Targeted_Insult_Individual,54,7
Dai neenga la loose mari caste language nu sanda pottu irukurapo Namma ellarum Indians nu oru jawan border la ninutu irukanga da sethuturuka da dai innum ah da neenga thirunthula grow up da we all are Indians,Offensive_Targeted_Insult_Group,208,37
Trailer yangaluku pedichirundha mattum like podugaa,Not_offensive,52,6
I am here after queen's trailer.,Not_offensive,32,6
Thala unna paththiddu irukkan. Seekkiram vaa thala,Not_offensive,50,7
ஒரு குடும்பத்தின் கதறலை படமா மாற்றி உள்ளிர்கள் வாழ்த்துக்கள் வன்னிய நன்பா,Not_offensive,73,9
"Karhtik Subburaj Mass Pannitinga,Thalaivara supera kattirukinga thanks bro",Not_offensive,75,9
A Tamil movie going the Malayalam way?,Not_offensive,39,8
Super படத்தை ஆவலோடு எதிர்பார்கிறோம். குடும்பத்தோடு அனைவரும் பார்ப்போம்...,Not_offensive,74,7
Namaku theva thavayanatha nama than adichu vanganum... Nama edathuku nama than sanda seyanum...,Offensive_Untargetede,98,14
751k likes reached aairuku pangalingala adichi thookalamaa,Not_offensive,58,7
Sir plzzz e trailer na.. T-series nalli bidi sir... Awsome trailer.. 500M pakka aagutte,not-Tamil,88,14
Yarellam sarkar teaser pathutu vanthu itha pathingalo like podunga,Not_offensive,66,9
Thala Oda unmaiyana fan ahaa irrutha ilke podunga,Not_offensive,49,8
Viswasam trailer needs 20k likes to reach 1.4m likes,Not_offensive,52,9
omg owasame bhai jan kay bata he itne sare lucok,not-Tamil,51,10
sema sema sema no words ti say,Offensive_Untargetede,30,7
Intha mari all irugathdigum nadu sathivanmaiyal alium,Offensive_Targeted_Insult_Other,53,7
Simbu n Jyothika Wil score much...,Not_offensive,35,6
Irukku theatrela kaadhu javvu pichikira alavukku DTS irukku,Offensive_Untargetede,59,8
தாம்பரம் தமிழ் அய்யங்கார் சார்பாக இந்த படம் வெற்றி பெற வாழ்த்துக்கள்,Not_offensive,68,9
Aai... Yevanu kaachum ponnttaati pulla Sentiment irunthaa Oodi padhungkiru.Kola kaandula irukkan.Varraar thalaivaru...PETTA PARAAKKKKKK...,Offensive_Untargetede,141,13
"ரஜினிய கிண்டல் பண்றங்கிலா Wait & Watch, He doing something to people",Offensive_Targeted_Insult_Group,68,11
அய்யோ இப்பவே படம் பார்க்கனும் போல இருக்கே 🤩🤩 காத்திருப்போம்...Semma hit Aagapoguthu,Not_offensive,83,10
come on surya fans 10 million views,Not_offensive,35,7
Thala mass dialogue u r great,Not_offensive,29,6
Thala pola varuma... Semma Thala,Not_offensive,33,5
Oru vela PowerPaandi 2 vaa irukumoo🤔🤔 Trailer mass pannitaanga... Petta vs Viswaasam,Not_offensive,86,12
வெச்சான் பாரு ஆப்பு..ட்ரைலர் க்ளைமாக்ஸ்ல.. சத்தியமா நான் விழுந்து விழுந்து சிரிச்சேன்..,Not_offensive,87,9
தமிழகத்தையே புரட்டிப்போடும் ஒரு திரைப்படமாக அமையும் வெற்றிபெற வாழ்த்துக்கள் வாழ்த்துக்கள் அண்ணா...,Not_offensive,99,9
இந்த படம் வெற்றியடிந்தால் அது நமது சமுதாயத்திற்கு கிடைத்த வெற்றி நம் வீட்டு பெண்களுக்கு கிடைத்த வெற்றி ஆகும்,Not_offensive,108,14
Sagapora unakku sathi etharkku Iyya pasumpon,Offensive_Targeted_Insult_Individual,47,6
அனைத்து பெண்களும் பார்க்க வேண்டிய விழிப்புணர்வு படம்...,Not_offensive,55,6
Fight seen marana masssss thala killi killii killikiii,Not_offensive,54,8
Epo relese pannuvinga. Epdiyachum relese pannirunga...,Not_offensive,55,6
பரியேறும் பெருமாள் சமூக நீதிப் படமென்றால்... திரௌபதி யும் சமூகநீதி படம்தான்,Not_offensive,77,10
Engala minja yevanum illa ambalaya iruntha nerala va by duraisingam,Offensive_Untargetede,67,10
ungalukku vayase agala sitty love u ma,Not_offensive,38,7
Now Kaappaan teaser marching towards 5m views & 400k likes,Not_offensive,58,10
Romba nalaiku apro na edhirpaarthamaadhri padam,Not_offensive,47,6
அடங்கவில்லை என்றால் அடக்கம் செய்வோம் மோகன் ஜி உங்களுக்காக நாங்கள்!!!,Offensive_Targeted_Insult_Group,76,9
கடலூர் மாவட்டம் சமட்டிக்குப்பம் வீர வன்னியர்கள் சார்பாக இப்படம் வெற்றி பெற வாழ்த்துக்கள்,Not_offensive,88,10
Aama Mr. Pandey inga enna panraru??,Not_offensive,35,6
komali kadhadhan aga pogudhu padam otthikkum,Offensive_Targeted_Insult_Group,44,6
படம் வெற்றி பெற வாழ்த்துக்கள். புரற்சி வெல்லட்டும்.,Not_offensive,51,6
Vijay sethupati mattum Villan na irundha vechiko padam flop thaan,Offensive_Targeted_Insult_Group,65,10
varla varla vaa varla va Bhairava,Not_offensive,33,6
Ohhh aaa Telugu remake of RAVI TEJAS BENGAL TIGER...,Not_offensive,56,10
ஆதி படத்துல சிரிக்க போறாரு படத்த பாத்துட்டு நாங்க எல்லாம் விழுந்து விழுந்து சிரிக்கப் போறோம் வாழ்த்துக்கள் ஆதி,Not_offensive,110,14
Thalaivaa Pakka massssss only one super star,Not_offensive,44,7
No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala,Not_offensive,77,11
Naan arasiyalukku varuvathu uruthi... Semma,Not_offensive,48,6
La la la.. Surviva.. Thala walk is just enough,Not_offensive,46,9
last bgm un azhaigil en idhayam than nilayail kathi song ah copy adichtan,Offensive_Untargetede,73,13
T-Series ke taraf se kisi ko heart mila hai🤣🤣🤣,not-Tamil,46,9
Dec la yarala intha video pakkega avaga matum like poduga,Not_offensive,57,10
Pink padam paathuthaen hd print irruku yaaruku veanum,Not_offensive,53,8
அனைத்து சமுதாயமும் வரவேற்க்கின்றன. நாடக காதல் கும்பளை தவிர. எங்க அண்ணா வேற லெவல். வாழ்த்துகள் மேகன் சத்ரியன் அவர்களே,Not_offensive,118,17
Very bad na ethur paartha alavukku illa,Not_offensive,39,7
Pariyerum perumal padam varum pothu mattum sonnigga. Ithuvum samuga padam tha. This 100 percentage true I support,Not_offensive,113,17
அனைத்து முதலியார்கள் சார்பாக இந்த படம் வெற்றியடைய வாழ்த்துக்கள்.,Not_offensive,65,7
1m Views & 101k likes #SK #Hero,Not_offensive,32,7
Vere level last scene pwolli,Not_offensive,29,5
Tharumaru.. Thala I Love You,Not_offensive,28,5
Padam vera level Thiruma kuu vooooo Ranjith Naiyee ku vooooo Thirunelveli mavattam Senaithalivar sarbagaa Padam day's Oda valthukal Mohan G vera level,Offensive_Targeted_Insult_Group,159,22
படம் வெற்றி பெற வாழ்த்துக்கள் வாழ்த்துக்களுடன் பொட்டல் S.துரை யாதவ் போர்ப்படை நெல்லை ஜில்லா,Not_offensive,94,11
குடியுரிமைக்காக 40 வருட ஆதாரத்தை காட்டிய இசுலாமியர்,Not_offensive,51,6
Srk fan plz dislike tha video,Not_offensive,29,6
1m likes varumnu solravagga like here,Not_offensive,37,6
Indha #Rakulpreet Vs #Suriya sandai kaatchi design la edhirpaakalaye #NGKTrailer - repeat worthy,Not_offensive,98,13
I'm die hard fan from Sri Lanka,Not_offensive,31,7
Enaga Da keka beka short film ah perusa yeduthu vachirukiga,Offensive_Untargetede,59,10
Final Rajini semma 🤣🤣ithu 96 Yaara yemaathireenga,Not_offensive,49,7
Very good film after long time,Not_offensive,30,6
Super chiyan sir your vere leval,Not_offensive,32,6
தெறிஞ்ச எதிரிய விட தெறியாத எதிரிக்கு தான் அல்லு அதிகமா இருகனுனுனுனுனு தலைவா மாஸ்ஸ்ஸ்ஸ் பைரவா,Not_offensive,93,12
Thrill na mysskin unmaiya maiyama vachu edukkapatta kathaigala pathivu seivar...salute,Not_offensive,86,10
Therikke fans hit like arjun sir,Not_offensive,32,6
இந்த படத்திற்கு வன்னியர் மக்கள் வரவேற்கிறோம் இந்த படம் மாபெரும் வெற்றி அடைய வாழ்த்துக்கள் மோகன் அண்ணா,Not_offensive,101,13
Vilaba kula naidu sarbaga intha movie vetripera vazhukkal..,Not_offensive,59,8
Thairiyama dewali Ku va thalaiva nanga irukom irupom 🤗,Not_offensive,55,9
Real time views 4.7M views n 400K likes,Not_offensive,39,8
Akshay Kumar - annen neenga bird ah ne,Offensive_Targeted_Insult_Individual,38,8
நீ ஓடி வந்த போதே உன் அப்பன் அங்க உசுர விட்டிருப்பான்... சாதாரண வசனம் இல்லை... அப்பனின் வலி...,Not_offensive,96,14
Unga ponnunga Enga Mela Asa padama iruntha sari,Not_offensive,47,8
Enna da idhu Viswasam bgm uh potrukinga!!!,Offensive_Untargetede,43,7
"Wow Surya Sir Neenga Unmaiyileye Vera level gethu kaatringa,padathula neraya getup irukku pola Teaser Vera lvl... I'm Very big Fan of K.V Anand Sir Movies - By Thalapathy Fan",Not_offensive,192,31
Adeiii Talking Tom Piano music copy data,Offensive_Untargetede,40,7
Sema anna Lv u karthi anna,Not_offensive,26,6
Agalathe song pathutu udane Inka than varan...yarlam Enna Mari vanthinka,Not_offensive,73,11
Trailer payangarama irukku movie ku waiting,Not_offensive,43,6
Thamizh naatla evlo jaathi veri irukkunnu intha comments paatha theriyum...thu...,Not_offensive,85,10
Asuraan Padam Vanda appo..thaaltha patta odukka patta makkal kaana Padam la Vanda appo enga Da irunthiiga... Pengal ku padukappu illa Inga jaathi ku than pathuukappu theva paduthu... Anyways wishes from normal commons human without any SHITTY BRIDE from tamilnadu,Not_offensive,265,40
Nerkonda parvai nu solitu ellam avan seyal padatha eduthu vechirukanga ya,Offensive_Untargetede,73,11
Topper thaan alanum arrear guys naanga eduku alanum 🤗,Not_offensive,54,9
Paaaa Goosebumps... Such a heavy voice..,Not_offensive,40,6
It's looks like Ramayya vastavayya telugu movie 🤔🤔🤔🤔🤔🤔🤔🤔🤔,Not_offensive,57,8
Unlike panra nayeee un veetu ponnuku vara nilamaiyathan movie ya eduthurukanha k yaaa so support pannunga,Not_offensive,105,16
Thala Da i love u thala,Not_offensive,23,6
Awesome Vikram Anna Chance ye illa Pakkah,Not_offensive,41,7
Sema bro ana Yenaku seripa varala,Not_offensive,33,6
Jayam Ravi and kajal sema pair,Not_offensive,30,6
Ithu la oru trailer aah daa.. karumooo kaliyugam.. oru content ye ila.. epadi irukum 10 padam oreee direcgor ah vachu pana apaditana... pudhusa yosingadaa.. Avan moonji mari iruku trailer,Offensive_Untargetede,190,30
100 k cmt varanum frnds... Cmt pls,Not_offensive,36,8
dhurvu natchathiram vituuttu poyum poi ivlo kevlamana padam pannuriye...you are an idiot,Offensive_Targeted_Insult_Group,89,13
Intha trailer ah megha akash kaaaga tha paathe...like podreen...ulaga alazhii,Not_offensive,79,10
Thalapathy rasigan sarbaga valtukal Anna and intha Movi ode oru poster parta odane enaku Ithu verum sport padama irukathu Nu Tonici Horror ah mix pani iruntha Nalla irukum Nenaicen Aparum tha Teriuthu trailer le Sport Horror Nu Rombe ve wait pandren Intha padathuku,Not_offensive,265,43
Eppa suriya sir neenga enna getup potalum nala irukku sir,Not_offensive,57,10
KV Anand + Suriya+ mohanlal+ arya+ samuthirakani+boman Irani+ sayesha+ Chirag Jani+Harris jayaraj,Not_offensive,97,12
Semma trailer annna semmma love u aadhi annan,Not_offensive,45,8
"பரியேறும் பெருமாள், அசுரனை எல்லாம் ஏற்றக்கொண்ட சமூகம் இந்த படத்தையும் ஏற்றுக்கொள்ள வேண்டும்... மற்றவர்களால் தாழ்த்தப்படுவதும் உண்மை இந்த மாதிரி நாடக காதல் சம்பவமும் உண்மை...மறுக்க முடியாது",Not_offensive,195,20
